NO_MUNICIPIO_ESC,nota
ABAETETUBA,524.0084153005465
ABREU E LIMA,503.6707537688445
ACARI,491.8707692307692
ACOPIARA,484.1125481798716
ALAGOA NOVA,491.5344444444446
ALAGOINHAS,560.6565110565109
ALCANTARAS,510.9227956989246
ALEGRE,558.926288209607
ALEXANDRIA,505.6122033898305
ALGODAO DE JANDAIRA,527.73
ALIANCA DO TOCANTINS,507.4075
ALMENARA,568.673918918919
ALMIRANTE TAMANDARE,499.147192118227
ALTAMIRA,530.8354814814813
ALTO ALEGRE,471.897894736842
ALTO PARAISO,483.8330434782608
ALTO RIO NOVO,548.0933333333334
ALTOS,481.715534883721
ALUMINIO,552.3693749999999
ALVORADA,530.0016
AMERICANA,578.2918687329079
AMPARO,592.0336182336184
ANAJATUBA,466.05458333333326
ANANINDEUA,535.2258294442079
ANASTACIO,475.8117391304349
ANCHIETA,541.9339682539681
ANGICOS,502.70976744186066
ANGRA DOS REIS,534.9021212121214
ANICUNS,531.2389999999999
ANAPOLIS,569.7640840140022
AQUIDABA,495.3670370370371
ARACAJU,574.5904100761576
ARACOIABA,492.07988023952083
ARAGUATINS,511.45860465116283
ARAPIRACA,558.3974207811355
ARARANGUA,557.2472202166066
ARARAQUARA,586.0229278350515
ARARUNA,512.94487394958
ARATIBA,576.8133333333334
AREIA BRANCA,500.80628571428554
ARIQUEMES,534.2797512437811
ARMACAO DOS BUZIOS,551.1305769230769
ARROIO DO SAL,516.6400000000001
ARUANA,433.02588235294115
ARUJA,543.4344636678201
ASSIS,567.1000000000004
ASSUNCAO,552.9325000000001
ATIBAIA,568.7402635914332
AVARE,559.887549668874
ACAILANDIA,517.8765106382978
ACU,520.6566304347825
BAIANOPOLIS,526.4535714285714
BAIXA GRANDE,529.1541666666668
BALSAS,532.0338461538465
BAMBUI,570.4347457627117
BANABUIU,471.4516071428572
BARBACENA,599.3899013806708
BARCARENA,519.8856811594205
BARRA FUNDA,607.325
BARRA MANSA,585.522944785276
BARRA DO GARCAS,548.4582838283824
BARRA DO PIRAI,569.887524752475
BARRA DOS COQUEIROS,499.1574193548388
BARREIRAS,582.8150079491256
BARRINHA,500.1315555555556
BARUERI,563.6037298701299
BATATAIS,569.3813278008301
BATURITE,510.05710073710065
BAURU,576.0102683615822
BAYEUX,506.4932231404958
BELA VISTA DO MARANHAO,502.585
BELFORD ROXO,508.9230540037246
BELO HORIZONTE,614.1543006357853
BELEM,556.230411787923
BENEVIDES,516.9059437751004
BENTO GONCALVES,596.1985427135676
BERTIOGA,521.0590666666665
BETIM,574.8796951219515
BLUMENAU,587.0029170829175
BOA VIAGEM,465.13207459207445
BOA VISTA,539.6036047320808
BOM DESPACHO,590.89408
BOM JARDIM,502.3025984251968
BOM JESUS DA LAPA,510.94950354609904
BOM JESUS DOS PERDOES,523.6940425531914
BOQUEIRAO,501.70195121951224
BRAGANCA PAULISTA,574.9466025641022
BRASILANDIA DE MINAS,483.16296296296287
BRASILIA,565.1301539925086
BREJO GRANDE,437.99360000000013
BREJO SANTO,512.4973219373214
BREJO DA MADRE DE DEUS,532.6018181818182
BREJAO,555.9654545454546
BRUMADO,591.9899074074073
BRUSQUE,580.6514619883042
BURITICUPU,500.53839999999997
BUTIA,518.8512820512819
CAAPIRANGA,404.88869565217385
CAAPORA,453.424375
CABO DE SANTO AGOSTINHO,523.6483589743592
CACAULANDIA,472.3664
CACHOEIRA DOURADA,458.4342857142857
CACHOEIRINHA,551.8914947368422
CACHOEIRO DE ITAPEMIRIM,573.2159757575753
CAICO,591.6284064665127
CAIEIRAS,544.473023255814
CAJAMAR,527.2996091205217
CAJAZEIRINHAS,494.26444444444434
CAMACAN,462.4346268656717
CAMARAGIBE,519.7843016759781
CAMACARI,544.0910153846154
CAMETA,512.5674418604655
CAMPANHA,547.4725423728813
CAMPINA GRANDE,577.6578046672429
CAMPINAS,584.2399464850398
CAMPO BELO,594.7434355828221
CAMPO BOM,529.7317127071824
CAMPO FORMOSO,520.7486666666667
CAMPO GRANDE,564.419332621463
CAMPO NOVO DO PARECIS,533.2307878787881
CAMPOS BORGES,527.73
CAMPOS DOS GOYTACAZES,559.5180524861875
CANHOTINHO,481.49127272727276
